number,name,description
ARCHLGY 34:,Animals and Us (ANTHRO 34),"The human-animal relationship is dynamic, all encompassing and durable. Without exception, all socio-cultural groups have evidenced complex interactions with the animals around them, both domesticated and wild. However, the individual circumstances of these interactions are hugely complicated, and involve much more than direct human-animal contact, going far beyond this to incorporate social, ecological and spiritual contexts.This course delves into this complexity, covering the gamut of social roles played by animals, as well as the methods and approaches to studying these, both traditional and scientific. While the notion of `animals as social actors is well acknowledged, their use as proxies for human autecology (the relationship between a species and its environment) is also increasingly recognized as a viable mechanism for understanding our cultural and economic past. It will piece together the breadth of human-animal relationships using a wide geographic range of case studies."
ARCHLGY 86:,Digital Methods for Archaeology and Anthropology,"Digital tools can be a powerful way of collecting, analyzing and presenting data in social-cultural anthropology and archaeology. This survey course is designed for students from all backgrounds interested in developing practical skills in computational methods, no previous computational experience is required. Over the span of four 2.5 week units, we will develop foundational skills for 1) text processing, 2) geospatial analysis (e.g GIS), 3) bioinformatics and paleogenetics, and 4) data visualization. Each unit will take a deep dive into the way these approaches have been used in anthropology in published case studies. This will be complemented by digital lab activities (suitable for remote or in-person learning) to develop skills and complete an independent project of your choosing with the tools learned in this course. The goal is to set you up with digital tools that are useful to you in academic, journalistic, and other related endeavors."
ARCHLGY 104:,Digital Methods in Archaeology,Archaeologists have long adapted and incorporated available digital tools into their methodological toolkits. The recent explosion in computing power and availability has led to a proliferation of digital apparatus in archaeology and sparked dynamic theoretical and methodological discussions within the discipline. This course provides an overview of digital tools and methods utilized by archaeologists through all stages of research.
ARCHLGY 105:,"Global Heritage: Conflict, Reconciliation, and Diplomacy (ANTHRO 117C)","Archaeological studies from the 1990s framed cultural heritage as a resource that created attachments to place and to the past as a means to buttress national and cultural identities. But heritage can no longer be viewed as simply a marker of a singular, national identity. As a global era ushers in new regimes of heritage management, heritage becomes embroiled in a multitude of interactions whether acting as a fulcrum of transnational governance or functioning at the crux of community empowered utilizations and initiatives.nnThis course will trace what happens to heritage as it has been drawn into a world of global interactions while also maintaining more local forms of attachment. The class will address three themes (conflict, reconciliation, and diplomacy), all of which result from the multi-scalar relations that emerge from heritage financing, management, and preservation in a transnational arena. While the class will discuss cases that include both tangible and intangible heritage, more »"
ARCHLGY 108:,Ancient DNA and the Human Past,"The rapidly growing field of paleogenomics has brought together researchers from a wide variety of fields and perspectives in the social and natural sciences. This survey course is designed for students from all backgrounds interested in developing practical skills in ancient DNA methods, contextual research, analysis and interpretation. We will also focus on exploring and discussing ethics in the field and the implications of the growing interest of public audiences with ancient DNA (such as the 23andMe direct-to-consumer genetic test for Neanderthal ancestry). Throughout the course, we will also explore a variety of related topics by taking a deep dive into the archaeology context and analytical approaches of published case studies. For a final project, you will explore a site, topic or study of your choosing with the tools learned in this course and evaluate the potential for ancient DNA to uncover new findings there."
ARCHLGY 113:,"Culture and Epigenetics: Towards A Non-Darwinian Synthesis (ANTHRO 113, ANTHRO 213)","The course examines the impact of new research in epigenetics on our understanding of long-term cultural change. The course examines the various attempts that have been made over recent decades to find a synthesis between cultural and biological evolution. These approaches, often termed neo-Darwinian, include memes, dual inheritance theory, theories of cultural selection and transmission, niche construction theory and macro-evolutionary approaches. Research in all these areas will be examined, with particular reference to explanations for the origins of agriculture, but also including other transformations, and critiqued. New research in epigenetics offers an alternative non-Darwinian evolutionary perspective that avoids many of the problems and pitfalls in the neo-Darwinian approaches. Cultural evolution comes to be viewed as cumulative, directional and Lamarckian, since heritable epigenetic variation can underlie evolutionary change. Epigenetics opens the way for human cultural entanglements to become the drivers for evolutionary change, thus allowing the full range of social processes studied in the social and cultural sciences to take their place in the study and analysis of long-term change."
ARCHLGY 114:,"Rights and Ethics in Heritage (ANTHRO 114, ANTHRO 214)","Heritage is a human thing: made by people and mobilized for their own purposes, it has a range of effects on communities. This course focuses on the human dimension of heritage with special attention to questions of rights and ethics. Where can we locate the intersections of heritage and rights? How do communities and governing structures negotiate control over and participation in heritage, and with what impacts on people? Which ethical challenges arise and how have archaeologists, heritage managers, museums, legislators, community leaders, and others approached these issues?The first half of this seminar course focuses on the theoretical and contextual basis for these discussions. We will address topics such as cultural ownership and participation as well as the global and governing contexts within which heritage is mobilized. Building on this, the second half examines cases in which different rights, needs, and goals come into conflict: museum practice, public memory, upheaval stemming from violence or disaster, and the ethics of the material world itself. Throughout, we will highlight heritage in relation to communities, rights, and responsibilities, all while thinking through ethical modes of heritage research and practice."
ARCHLGY 115:,"The Social life of Human Bones (ANTHRO 115, ANTHRO 215)","Skeletal remains serve a primary function of support and protection for the human body. However, beyond this, they have played a range of social roles once an individual is deceased. The processes associated with excarnation, interment, exhumation and reburial all speak to the place that the body, and its parts, play in our cultural as well as physical landscape.This course builds on introductory courses in human skeletal anatomy by adding the social dynamics that govern the way humans treat other humans once they have died. It draws on anthropological, biological and archaeological research, with case studies spanning a broad chronological and spatial framework to provide students with an overview of social practice as it relates to the human body."
ARCHLGY 117:,"Virtual Italy (CLASSICS 115, ENGLISH 115, HISTORY 238C, ITALIAN 115)","Classical Italy attracted thousands of travelers throughout the 1700s. Referring to their journey as the ""Grand Tour,"" travelers pursued intellectual passions, promoted careers, and satisfied wanderlust, all while collecting antiquities to fill museums and estates back home. What can computational approaches tell us about who traveled, where and why? We will read travel accounts; experiment with parsing; and visualize historical data. Final projects to form credited contributions to the Grand Tour Project, a cutting-edge digital platform. No prior programming experience necessary."
ARCHLGY 221B:,"""The Will to Adorn"": An Anthropology of Dress (AFRICAAM 121B, ANTHRO 121B, ANTHRO 221B)","This seminar explores sartorial practices as a means for examining formations of identities and structural inequalities across space and time. Building off the definition of dress, pulled from Mary Ellen Roach-Higgins and Joanne B. Eicher, this course examines sartorial practices as social-cultural practices, shaped by many intersecting operations of power and oppression including racism, sexism, and classism, that involve modifications of the corporal form (i.e., scarification, body piercings, and hair alteration) as well as all three-dimensional supplements added to the body (i.e., clothing, hair combs, and jewelry). The emphasis on intersecting operations of power and oppression within this definition of dress draws on Kimbrel Crenshaw's conceptualization of intersectionality. Through case studies and examples from various parts of the world, we will explore multiple sources of data - documentary, material, and oral - that have come to shape the study of dress. We examine how dress intersects with facets of identity, including race, age, ethnicity, sexuality, and class."
ARCHLGY 303:,"Memory, Materiality, and Archaeology (ANTHRO 303X)","This seminar will explore several themes related to memory and material culture - broadly conceived to include art, architecture, the built environment, and landscapes, through archaeological, historical, and ethnographic lenses. How can we understand the role of socially resonant individual and collective memories through materiality in the past? What is the materiality of memorialization and commemoration, and are they affected by political contestation and power? Additionally, how does material culture through anthropological interpretation aid or transform social memory in the present?This seminar does not attempt to be all-inclusive of the themes and topics generated by intersection of memory and materiality. Rather, the seminar is designed around an introduction to how humanists and social scientists (including sociocultural anthropologists and archaeologists) have approached social and collective memory, and seven specific theoretical or threads for which archaeologists offer un more »"
ARTHIST 36:,"Dangerous Ideas (COMPLIT 36A, EALC 36, ENGLISH 71, ETHICSOC 36X, FRENCH 36, HISTORY 3D, MUSIC 36H, PHIL 36, POLISCI 70, RELIGST 36X, SLAVIC 36, TAPS 36)","Ideas matter. Concepts such as equality, tradition, and Hell have inspired social movements, shaped political systems, and dramatically influenced the lives of individuals. Others, like race, gender, and technology play an important role in contemporary debates in the United States. All of these ideas are contested, and they have a real power to change lives, for better and for worse. In this one-unit class we will examine these ""dangerous"" ideas. Each week, a faculty member from a different department in the humanities and arts will explore a concept that has shaped human experience across time and space."
ARTHIST 100N:,The Artist in Ancient Greek Society (CLASSICS 18N),"Given the importance of art to all aspects of their lives, the Greeks had reason to respect their artists. Yet potters, painters and even sculptors possessed little social standing. Why did the Greeks value the work of craftsmen but not the men themselves? Why did Herodotus dismiss those who worked with their hands as ""mechanics?"" What prompted Homer to claim that ""there is no greater glory for a man than what he achieves with his own hands,"" provided that he was throwing a discus and not a vase on a wheel? Painted pottery was essential to the religious and secular lives of the Greeks. Libations to the gods and to the dead required vessels from which to pour them. Economic prosperity depended on the export of wine and oil in durable clay containers. At home, depictions of gods and heroes on vases reinforced Greek values and helped parents to educate their children. Vases depicting Dionysian excess were produced for elite symposia, from which those who potted and painted them were exclu more »"
ARTHIST 119:,"Love at First Sight: Visual Desire, Attraction, and the Pleasures of Art (ARTHIST 319, FRENCH 149, FRENCH 349, ITALIAN 149, ITALIAN 349)","Why do dating sites rely on photographs? Why do we believe that love is above all a visual force? How is pleasure, even erotic pleasure, achieved through looking? While the psychology of impressions offers some answers, this course uncovers the ways poets, songwriters, and especially artists have explored myths and promoted ideas about the coupling of love and seeing. Week by week, we will be reflecting on love as political critique, social disruption, and magical force. And we will do so by examining some of the most iconic works of art, from Dante's writings on lovesickness to Caravaggio's Narcissus, studying the ways that objects have shifted from keepsakes to targets of our cares. While exploring the visual roots and evolutions of what has become one of life's fundamental drives, this course offers a passionate survey of European art from Giotto's kiss to Fragonard's swing that elicits stimulating questions about the sensorial nature of desire and the human struggle to control emotions."
ARTHIST 162:,Visual Arts Cuba (1959 - 2015) (ARTHIST 362),"The evolution of culture in post-1959 Cuba, with a strong focus on visual arts in all media and film will be introduced in this course. Historical examples will be discussed through lectures, readings and the presentation of audiovisual material. Students will develop their research, critical thinking, and writing through assignments, discussions, and the completion of a final paper. This is a discussion-heavy course, so come prepared to read, write and talk."
ARTHIST 165:,Vincent van Gogh and His World,"No artist is more famous than Vincent van Gogh. Yet how well is he known? Perhaps not at all. A victim of cliches and platitudes, his art is rarely seen, or, to put it differently, the power of its call on us is mostly unheeded. What was he searching for and what did he hope to make possible for us to experience along with him? How, to put it differently, did he love us? An adventure beyond the trite and true, an exploration in the powers of naivete, offered by someone without authority, the class will take us deeply into Van Gogh's art and his moment."
ARTHIST 168A:,"A.I.-Activism-Art (CSRE 106A, ENGLISH 106A, SYMSYS 168A)","Lecture/studio course exploring arts and humanities scholarship and practice engaging with, and generated by, emerging emerging and exponential technologies. Our course will explore intersections of art and artificial intelligence with an emphasis on social impact and racial justice. Open to all undergraduates."
ARTHIST 206:,The Alchemy of Art: Substance and Transformation in Artistic Practice (ARTHIST 406),"This seminar considers materiality and processes of material transformation as core elements of artistic practice and the history of making, largely from Sumer (3rd Millennium BCE) until the Early Modern period (18th Century in the West), but with several modern comparisons. Major points of focus will include pre-modern perceptions of the elemental properties of materials as matter, the reflexive relationship between materials and imagination, and the diverse ways in which societies have associated specific substances with social and cultural values. Humanistic perspectives on such issues are augmented by complementary insights from the physical sciences, and references are made to current ideas regarding material agency, affordances, and the imperfect separability of nature and culture. Indeed, a central question underlying all the readings is how to distinguish natural from synthetic: where does nature end and art begin, or maybe where does nature stop?"
ARTHIST 242A:,Art History in the First Person (ARTHIST 442),"This seminar considers the use of the first person voice in a wide range of writings about art, from fiction to criticism to scholarship. Insofar as graduate students have typically been discouraged from using the first person voice in their scholarly work, we will question the benefits and drawbacks of doing so in particular cases. To what ends have different writers put the first person voice and how do they integrate it with others strategies of written expression? How might we distinguish among different forms of speaking from the position of 'I' in art-historical writing? What kind of 'I' is at stake, personal, professional, intellectual, imaginary, or otherwise. Requirements: Students will be required to attend all seminar meetings and participate actively in discussion. They will submit two types of writing assignments: The first, which each student will prepare on a rotating basis, will be a 2-page response to a selected reading that will serve to launch discussion of that text in seminar. The second, longer paper (12-15 pages) will involve original research on a selected object or exhibition and the writing of a paper that adopts the first person voice to some degree or explains its necessary rejection."
ARTHIST 251:,Warhol's World (ARTHIST 451),"Andy Warhol's art has never before been more widely exhibited, published, or licensed for commercial use, product design, and publication than it is today. For all Warhol's promiscuous visibility and global cachet at the current moment, there is much we have yet to learn about his work and the conditions of its making. This course considers the wide world of Warhol's art and life, including his commercial work of the 1950s, Pop art and films of the 1960s, and celebrity portraiture of the 1970s and 80s. Of particular interest throughout will be Warhol's photography as it reflects his interest in wealth and celebrity on the one hand and on the everyday life of everyday people on the other."
ARTHIST 272:,"Feminist Avant-Garde Art in Germany and Beyond (1968-2019) (ARTHIST 472, FEMGEN 280, GERMAN 280)","In ""Woman's Art: A Manifesto"" (1972), the artist, performer and filmmaker Valie Export (1940) proposed the transfer of women's experience into an art context and considered the body ""a signal bearer of meaning and communication."" In reconceptualizing and displaying ""the"" body (her body) as an aesthetic sign, Export's groundbreaking work paves the way towards questioning the concepts of a ""female aesthetic"" and a ""male gaze"" (L. Mulvey). Beginning with Export, we will discuss art informed by and coalescing with feminism(s): the recent revival of the 1970s in all-women group shows, the dialectic of feminist revolution, the breakdown of stable identities and their representations, point(s) of absorption of commodified femininities. Particular attention will be paid to German-language theory and its medial transfer into art works. For students of German Studies, readings and discussions in German are possible. Online discussions will be organized with contemporary artists and curators. Emp more »"
ARTHIST 298:,Individual Work: Art History,Prerequisite: student must have taken a course with the instructor and/or completed relevant introductory course(s). Instructor consent and completion of the Independent Study Form are required prior to enrollment. All necessary forms and payment are required by the end of Week 2 of each quarter. Please contact the Undergraduate Coordinator in McMurtry 108 for more information. May be repeated for credit.
ARTHIST 319:,"Love at First Sight: Visual Desire, Attraction, and the Pleasures of Art (ARTHIST 119, FRENCH 149, FRENCH 349, ITALIAN 149, ITALIAN 349)","Why do dating sites rely on photographs? Why do we believe that love is above all a visual force? How is pleasure, even erotic pleasure, achieved through looking? While the psychology of impressions offers some answers, this course uncovers the ways poets, songwriters, and especially artists have explored myths and promoted ideas about the coupling of love and seeing. Week by week, we will be reflecting on love as political critique, social disruption, and magical force. And we will do so by examining some of the most iconic works of art, from Dante's writings on lovesickness to Caravaggio's Narcissus, studying the ways that objects have shifted from keepsakes to targets of our cares. While exploring the visual roots and evolutions of what has become one of life's fundamental drives, this course offers a passionate survey of European art from Giotto's kiss to Fragonard's swing that elicits stimulating questions about the sensorial nature of desire and the human struggle to control emotions."
ARTHIST 362:,Visual Arts Cuba (1959 - 2015) (ARTHIST 162),"The evolution of culture in post-1959 Cuba, with a strong focus on visual arts in all media and film will be introduced in this course. Historical examples will be discussed through lectures, readings and the presentation of audiovisual material. Students will develop their research, critical thinking, and writing through assignments, discussions, and the completion of a final paper. This is a discussion-heavy course, so come prepared to read, write and talk."
ARTHIST 406:,The Alchemy of Art: Substance and Transformation in Artistic Practice (ARTHIST 206),"This seminar considers materiality and processes of material transformation as core elements of artistic practice and the history of making, largely from Sumer (3rd Millennium BCE) until the Early Modern period (18th Century in the West), but with several modern comparisons. Major points of focus will include pre-modern perceptions of the elemental properties of materials as matter, the reflexive relationship between materials and imagination, and the diverse ways in which societies have associated specific substances with social and cultural values. Humanistic perspectives on such issues are augmented by complementary insights from the physical sciences, and references are made to current ideas regarding material agency, affordances, and the imperfect separability of nature and culture. Indeed, a central question underlying all the readings is how to distinguish natural from synthetic: where does nature end and art begin, or maybe where does nature stop?"
ARTHIST 409A:,"Image, Icon, Idol: Theories and Practices in Byzantium, Islam, and the Latin West","This course explores the phenomenon of iconoclasm, iconophobia, and aniconism as markers of a vast and profound cultural transformation of the Mediterranean in the period from the seventh to the ninth centuries. As the Arabs established the Umayyad caliphate in the seventh century, quickly conquering Holy Land, Egypt, and advancing all the way to Spain, they perpetrated an identity crisis in the region. By the seventh century three large political entities formed in the Mediterranean ¿ the Umayyads, the Carolingians, and the Byzantines ¿ each competed for legitimacy; all three emerged from the ashes of Late Antique culture, yet each tried to carve out an identity out of this common foundation. In this parting of the ways, the three cultures took among others the issue of what constituted an image and what role it played in devotion. Eik¿n, imago, ¿ura became the basis on which to built differences and accuse the other political players of idolatry."
ARTHIST 442:,Art History in the First Person (ARTHIST 242A),"This seminar considers the use of the first person voice in a wide range of writings about art, from fiction to criticism to scholarship. Insofar as graduate students have typically been discouraged from using the first person voice in their scholarly work, we will question the benefits and drawbacks of doing so in particular cases. To what ends have different writers put the first person voice and how do they integrate it with others strategies of written expression? How might we distinguish among different forms of speaking from the position of 'I' in art-historical writing? What kind of 'I' is at stake, personal, professional, intellectual, imaginary, or otherwise. Requirements: Students will be required to attend all seminar meetings and participate actively in discussion. They will submit two types of writing assignments: The first, which each student will prepare on a rotating basis, will be a 2-page response to a selected reading that will serve to launch discussion of that text in seminar. The second, longer paper (12-15 pages) will involve original research on a selected object or exhibition and the writing of a paper that adopts the first person voice to some degree or explains its necessary rejection."
ARTHIST 448:,The Body in Film and other Media (FILMEDIA 448),"In this seminar, we will consider the body on screen as well as the body before the screen i.e. the spectator but also the profilmic body of the actor to examine corporeal performance and reception. The dancing body, the comic body, dead and live bodies, the monstrous body, the body in pain, the virtual body all raise questions about embodiment, liveness, and performance. We will read the body in audiovisual culture through an engagement with affect theory, focusing on the labor of performance, the construction of stardom, spatial and temporal configurations of the performing body, and the production of affect and sensation in the spectating body. Through a discussion of make-up, fashion, the labor of producing the idealized star body from the meat-and-bones body of the actor, or body genres where the spectator's body is beside itself with sexual pleasure, fear and terror, or overpowering sadness, we will inquire into ideologies of discipline and desire that undergird mediatized bodies more »"
ARTHIST 451:,Warhol's World (ARTHIST 251),"Andy Warhol's art has never before been more widely exhibited, published, or licensed for commercial use, product design, and publication than it is today. For all Warhol's promiscuous visibility and global cachet at the current moment, there is much we have yet to learn about his work and the conditions of its making. This course considers the wide world of Warhol's art and life, including his commercial work of the 1950s, Pop art and films of the 1960s, and celebrity portraiture of the 1970s and 80s. Of particular interest throughout will be Warhol's photography as it reflects his interest in wealth and celebrity on the one hand and on the everyday life of everyday people on the other."
ARTHIST 472:,"Feminist Avant-Garde Art in Germany and Beyond (1968-2019) (ARTHIST 272, FEMGEN 280, GERMAN 280)","In ""Woman's Art: A Manifesto"" (1972), the artist, performer and filmmaker Valie Export (1940) proposed the transfer of women's experience into an art context and considered the body ""a signal bearer of meaning and communication."" In reconceptualizing and displaying ""the"" body (her body) as an aesthetic sign, Export's groundbreaking work paves the way towards questioning the concepts of a ""female aesthetic"" and a ""male gaze"" (L. Mulvey). Beginning with Export, we will discuss art informed by and coalescing with feminism(s): the recent revival of the 1970s in all-women group shows, the dialectic of feminist revolution, the breakdown of stable identities and their representations, point(s) of absorption of commodified femininities. Particular attention will be paid to German-language theory and its medial transfer into art works. For students of German Studies, readings and discussions in German are possible. Online discussions will be organized with contemporary artists and curators. Emp more »"
ARTSINST 151C:,"Ethical STEM: Race, Justice, and Embodied Practice (AFRICAAM 151, CSRE 151C, STS 51D, SYMSYS 151D, TAPS 151D)","What role do science and technology play in the creation of a just society? How do we confront and redress the impact of racism and bias within the history, theory, and practice of these disciplines? This course invites students to grapple with the complex intersections between race, inequality, justice, and the STEM fields. We orient to these questions from an artistically-informed position, asking how we can rally the embodied practices of artists to address how we think, make, and respond to each other. Combining readings from the history of science, technology, and medicine, ethics and pedagogy, as well as the fine and performing arts, we will embark together on understanding how our STEM practices have emerged, how we participate today, and what we can imagine for them in the future. The course will involve workshops, field trips (as possible), and invited guests. All students, from any discipline, field, interest, and background, are welcome! This course does build upon the STS 51 series from 2020-21, though it is not a prerequisite for this course. Please contact the professor if you have any questions!"
ARTSINST 200A:,Interdisciplinary Arts Capstone Workshop,"First in a three-quarter series required of all Honors in the Arts participants or Interdisciplinary Arts Minor graduating seniors. Students initiate and develop interdisciplinary creative projects with the support of peers and mentors in a small, workshop format. Required enrollment in 200 A,B,C."
ARTSINST 200B:,Interdisciplinary Arts Capstone Workshop,"Second in a three-quarter series required of all Honors in the Arts participants or Interdisciplinary Arts Minor graduating seniors. Students initiate and develop interdisciplinary creative projects with the support of peers and mentors in a small, workshop format. Required enrollment in 200 A,B,C."
ARTSINST 200C:,Interdisciplinary Arts Capstone Workshop,"Third in a three-quarter series required of all Honors in the Arts participants or Interdisciplinary Arts Minor graduating seniors. Students initiate and develop interdisciplinary creative projects with the support of peers and mentors in a small, workshop format. Required enrollment in 200 A,B,C."
ARTSTUDI 10A:,Digital Workshop for Artists,"This one-unit pass/fail introductory workshop class is designed for students who are new to working with code and electronics, and will give them the technical background necessary to feel comfortable in digital studio classes such as Embodied Interfaces (162), Drawing with Code (163), Making it With Arduino (130), and other Emerging Media courses. By teaching introductory electronics and programming concepts in a step-by-step, hands-on manner with a focus on creative practice, this workshop class provides an accessible introduction to using electronics in students' own artistic endeavors. Students will learn to program LED strips, read sensors with Arduino, start to code in Processing, and become familiar with methods for connecting all three. Through guided tutorials and creative exploration in class, students will learn a basic skillset for creative practice using electronics and software interfaces, with a focus on skills students can use in their work in future classes. No technical experience required."
ARTSTUDI 19N:,An Artist's Life: Diverse Voices and Changing Contexts,"This course is designed for students considering an Art Practice minor or major. In this course, students gain confidence and experience connecting to their artistic voices as we explore the myriad possible career paths artists take to build sustainable careers. The course consists of a series of studio projects, each centered around a different artist whose career and art practice we study. The example artists will be primarily artists of color, or artists from communities which are underrepresented in the art world, with practices and careers ranging from the conventional to the more unusual. The goal of these artist selections is to model the possibilities of an art career for students who do not easily see themselves well represented in the mainstream art world, while also broadening all students¿ understanding of the many different methods for making work and practicing as an artist today."
ARTSTUDI 141A:,Drawing from Life (ARTSTUDI 241A),"The subject of this course is Life as we know it, and artists at all levels will learn to communicate their questions, concerns, and perspectives on paper. The drawing process empowers students to express themselves in their already unique visual languages, while the objects will be testimonies to their personal, cultural, spiritual, and revolutionary experiences. We begin by developing or refining students' fundamental techniques through indoor and outdoor observational drawing. Our focus shifts toward representational and conceptual strategies for storytelling that reference students¿ archives, popularized content, literature, historical references and more. Through drawing, we discuss and examine a diverse range of contemporary art to address the legacy of visual art. All preparation must be done between class meetings, and all artworks will be made during class to maximize the studio art-making experience."
ARTSTUDI 155:,Social Sculpture (TAPS 155),"This course investigates the body as sculptural material in order to investigate private and social spaces. Through the development of projects in the realm of social practice, performance, and/or audience interaction, students will explore what it means to accept all aspects of life as potential sculpture. Artistic actions will be used to understand or question the function and psychological aspects of a space. We will use the social as material form for experimentation to combine language, concept, action, place, and object with civic engagement, participatory embodiment to structure the social."
ARTSTUDI 156:,Installation Art in Time and Space,"This hands on studio based sculpture course focuses on developing concepts, and creating a site-specific installation art project. This class will addresses the impact of material and technique upon form and content; therefore understanding the physical and expressive possibilities of diverse materials. Conceptual and technical considerations will be addressed. Students will learn traditional building techniques as needed (wood shop, metal shop, mold making, found object) as well as anti-object techniques. Students will make 3-4 projects that will culminate in a final site-specific installation. We will look at contemporary artists working in the field of installation art. Group discussions, critiques, readings, video presentations, field trips and visiting artists will augment the class. Installation Art is based on the merger of Space and Time and on a relationship between the artist and the visitor. Utilizing your interests and abilities in a variety of subjects and media, you will more »"
ARTSTUDI 165M:,"Practice, Practice, Practice: Cultivating Creative Rituals and Routines","Focuses on the importance of daily rituals and routines through experiments and exercises in various mediums. We divide time between examining those who create daily using meditation, writing, drawing, performance, photography and more to tackle concepts of identity, time, endurance, memory, the mundane and the miraculous and working towards our own daily practice. Students set the rules for their daily practice. All experience levels welcome."
ARTSTUDI 171:,Introduction to Photography,"This is an introductory course in photography that explores lens-based practices and the imperative of visual literacy in today's world. The history of photography starts now, in a context of image-making that proceeds all around us with unprecedented immediacy and proliferation. We cover fundamental principles of camera operation, composition and image editing. Through digital instruction, students learn to use DSLR or Mirrorless cameras and to operate manual settings (focus, aperture, shutter speed, ISO, color temp/white balance). They learn basic file management as well as the use of Adobe Lightroom software. Students acquire an essential knowledge of contemporary art photography, including standards of quality and image sequencing. They get a basic sense of aesthetics and of the critical discourse that exists around the cultural significance of images. Students provide their own DSLR or mirrorless camera."
ARTSTUDI 171M:,The Photography Zine,"The course combines the critical analysis and creation of photography and photo zines that explore this specific medium's experimental, social and documentary potential. A zine is a DIY small-circulation, self-published print work of original or appropriated texts and images, usually produced in small, limited quantities. Discussions, projects, and readings focus on the photography zine for the preservation of minority and marginalized interests. This course familiarizeS students with analog DIY techniques for using original and appropriated photography. Students are asked to consider how their voices can be expressed through introspection, engagement with personal history, cultural subjectivities, and activism. Students are introduced to artists who make zines and why this structure is vital to their practice and community-building efforts. Emphasis is placed on actions of presence, joy, experimentation, and intention rather than perfection. All experience levels are welcome. We visit the SFMOMA and the zine collections from the San Francisco Library and view collections from the Marjorie Barrick Museum of Art in Las Vegas, NV. Additionally, we collaborate with and attend a workshop with the Italic program at Stanford."
ARTSTUDI 201:,Art Practice Major Seminar,"In this WIM course, students develop writing skills specific to the Art Practice discipline, including Artists Statements, Research Statements, and Grant Proposals, which are required of all professional artists. These written materials are created in tandem with a paired body of exploratory artwork which the texts elucidate and inform. Through iterations of writing and artworks, students experience how each of these practices, writing about artwork and making artwork, refine and advance each other. Students leave this course with an articulated artistic vision, an understanding of the specific context in which they see their work developing, and a set of research questions on which to base future bodies of work. The critical thinking, writing, research techniques and artistic materials developed in this course will prepare students for the more self-directed work required in the 200 level studio courses and in the Major Capstone course leading to the majors senior exhibition. This course also prepares all Art Practice majors to produce the written and portfolio materials required for our honors application (an Artists Statement, Work Proposal and Portfolio), should they desire to do so."
ARTSTUDI 241A:,Drawing from Life (ARTSTUDI 141A),"The subject of this course is Life as we know it, and artists at all levels will learn to communicate their questions, concerns, and perspectives on paper. The drawing process empowers students to express themselves in their already unique visual languages, while the objects will be testimonies to their personal, cultural, spiritual, and revolutionary experiences. We begin by developing or refining students' fundamental techniques through indoor and outdoor observational drawing. Our focus shifts toward representational and conceptual strategies for storytelling that reference students¿ archives, popularized content, literature, historical references and more. Through drawing, we discuss and examine a diverse range of contemporary art to address the legacy of visual art. All preparation must be done between class meetings, and all artworks will be made during class to maximize the studio art-making experience."
ARTSTUDI 246:,Individual Work: Drawing and Painting,Prerequisite: student must have taken a course with the instructor and/or completed relevant introductory studio course(s). Instructor consent and completion of the Independent Study Form are required prior to enrollment. All necessary forms are required by the end of Week 2 of each quarter. Please contact the Student Services Specialist in McMurtry 108 for more information. May be repeated for credit.
ARTSTUDI 250:,Individual Work: Sculpture,Prerequisite: student must have taken a course with the instructor and/or completed relevant introductory studio course(s). Instructor consent and completion of the Independent Study Form are required prior to enrollment. All necessary forms are required by the end of Week 2 of each quarter. Please contact the Student Services Specialist in McMurtry 108 for more information. May be repeated for credit.
ARTSTUDI 256:,Advanced Installation,"This hands on studio based sculpture course focuses on developing concepts, and creating a site-specific installation art project. This class will addresses the impact of material and technique upon form and content; therefore understanding the physical and expressive possibilities of diverse materials. Conceptual and technical considerations will be addressed. Students will learn traditional building techniques as needed (wood shop, metal shop, mold making, found object) as well as anti-object techniques. Students will make 3-4 projects that will culminate in a final site-specific installation. We will look at contemporary artists working in the field of installation art. Group discussions, critiques, readings, video presentations, field trips and visiting artists will augment the class. Installation Art is based on the merger of Space and Time and on a relationship between the artist and the visitor. Utilizing your interests and abilities in a variety of subjects and media, you will more »"
ARTSTUDI 261:,Individual Work: Emerging Practices in Design & Technology,Prerequisite: student must have taken a course with the instructor and/or completed relevant introductory studio course(s). Instructor consent and completion of the Independent Study Form are required prior to enrollment. All necessary forms are required by the end of Week 2 of each quarter. Please contact the Student Services Specialist in McMurtry 108 for more information. May be repeated for credit.
ARTSTUDI 270:,Advanced Photography Seminar,"Students interested in taking this class should apply with a project proposal they aim to develop over the length of the course. Since these projects require a considerable amount of independent work outside of class time, each student must submit a 1-to-2-page description outlining the subject they want to focus on, and a portfolio featuring some images of work they have already created in that realm. Upon careful evaluation, students with the strongest proposals will be selected. At the beginning of the course, all students will be provided with the necessary equipment and tools of support needed to execute their projects. The culmination of the course will be a carefully prepared final showing of work through different media - exhibition, print, virtual format - that each require their own specific lay-out and mode of presentation. This course may be repeated for credit.Prerequisite: ARTSTUDI 277 or equivalent."
